Time	RB	Sinr
0.663 	2 	13.3469
0.663 	3 	19.5362
0.663 	4 	14.722
0.663 	5 	20.6551
0.664 	1 	15.063
0.664 	2 	13.3416
0.664 	3 	17.5427
0.664 	4 	10.3914
0.664 	5 	20.3306
0.664 	0 	17.9135
0.665 	0 	12.2437
0.665 	1 	7.28534
0.665 	2 	9.75002
0.665 	3 	16.9598
0.665 	4 	8.26025
0.665 	5 	9.86023
0.666 	0 	11.7583
0.666 	1 	12.8081
0.666 	3 	15.9336
0.666 	4 	14.3925
0.666 	5 	15.1926
0.666 	2 	16.354
0.667 	1 	13.2546
0.667 	4 	13.9694
0.667 	0 	14.6899
0.667 	2 	8.01065
0.667 	5 	14.2461
0.667 	3 	17.1382
0.668 	0 	11.6205
0.668 	2 	9.46858
0.668 	1 	18.2726
0.668 	3 	16.0456
0.668 	4 	17.4021
0.668 	5 	15.5954
0.669 	0 	14.6614
0.669 	1 	10.9383
0.669 	3 	15.6649
0.669 	4 	13.3239
0.669 	5 	15.8949
0.669 	2 	9.13719
0.67 	5 	23.1705
0.67 	4 	10.7674
0.67 	0 	20.1962
0.67 	1 	22.8111
0.67 	2 	25.1564
0.67 	3 	24.5513
0.671 	3 	28.3011
0.671 	4 	14.31
0.671 	5 	29.3498
0.671 	0 	27.9574
0.671 	1 	27.3958
0.671 	2 	27.4251
0.672 	0 	15.3049
0.672 	1 	18.4792
0.672 	2 	20.6767
0.672 	4 	9.35748
0.672 	5 	20.7663
0.672 	3 	16.7311
0.673 	3 	15.5884
0.673 	0 	24.3639
0.673 	1 	13.2221
0.673 	2 	16.7064
0.673 	4 	13.602
0.673 	5 	13.2554
0.674 	1 	13.0131
0.674 	4 	14.0214
0.674 	5 	20.4317
0.674 	2 	23.1591
0.674 	3 	16.1865
0.674 	0 	12.6561
0.675 	2 	7.80442
0.675 	0 	14.8496
0.675 	1 	12.8359
0.675 	3 	10.4289
0.675 	5 	13.3604
0.675 	4 	10.7465
0.676 	3 	15.9908
0.676 	4 	15.7338
0.676 	2 	23.4029
0.676 	5 	18.7708
0.676 	1 	18.0473
0.676 	0 	14.6813
0.677 	1 	14.7379
0.677 	4 	12.8942
0.677 	3 	16.4562
0.677 	5 	15.2861
0.677 	2 	20.6704
0.677 	0 	12.1676
0.678 	1 	12.7712
0.678 	5 	14.0173
0.678 	2 	23.6203
0.678 	4 	10.6696
0.678 	0 	14.708
0.678 	3 	16.0505
0.679 	5 	18.1762
0.679 	0 	17.0374
0.679 	4 	12.8256
0.679 	1 	17.8975
0.679 	3 	16.0996
0.679 	2 	16.8385
0.68 	5 	12.5562
0.68 	4 	10.5908
0.68 	2 	16.8463
0.68 	3 	16.6671
0.68 	1 	16.843
0.68 	0 	11.5665
0.681 	0 	17.3974
0.681 	1 	15.6613
0.681 	4 	12.7405
0.681 	5 	11.3223
0.681 	2 	16.8501
0.681 	3 	15.6119
0.682 	1 	12.4465
0.682 	2 	8.5953
0.682 	3 	12.0479
0.682 	4 	13.9065
0.682 	5 	14.017
0.682 	0 	11.0858
0.683 	0 	14.819
0.683 	1 	12.4676
0.683 	4 	10.4295
0.683 	5 	8.01619
0.683 	3 	15.2744
0.683 	2 	6.63704
0.684 	1 	8.29879
0.684 	4 	12.5801
0.684 	5 	11.2202
0.684 	3 	15.09
0.684 	0 	10.5223
0.684 	2 	7.40363
0.685 	3 	10.8173
0.685 	1 	4.08277
0.685 	4 	10.2916
0.685 	5 	8.20719
0.685 	0 	10.2021
0.685 	2 	8.04934
0.686 	3 	10.8603
0.686 	4 	10.2131
0.686 	5 	8.28925
0.686 	0 	9.85084
0.686 	1 	7.72526
0.686 	2 	8.60584
0.687 	1 	8.96644
0.687 	3 	10.8981
0.687 	4 	10.1278
0.687 	5 	8.36292
0.687 	0 	9.46293
0.687 	2 	9.09365
0.688 	1 	1.3673
0.688 	3 	3.55586
0.688 	4 	10.0356
0.688 	5 	8.42856
0.688 	0 	9.0311
0.689 	0 	7.44821
0.689 	1 	-0.127191
0.689 	3 	3.85078
0.689 	4 	9.93606
0.7 	0 	21.2688
0.7 	1 	22.4875
0.7 	2 	22.6804
0.7 	3 	25.4854
0.7 	4 	25.5014
0.7 	5 	27.9952
0.701 	0 	24.608
0.701 	1 	25.633
0.701 	2 	17.309
0.701 	3 	21.7452
0.701 	4 	23.5726
0.701 	5 	21.0014
0.702 	1 	24.1872
0.702 	3 	26.6103
0.702 	4 	30.9128
0.702 	0 	24.7497
0.702 	2 	25.0438
0.702 	5 	23.9998
0.703 	2 	19.4371
0.703 	4 	26.5059
0.703 	0 	24.6689
0.703 	1 	24.1735
0.703 	3 	26.1832
0.703 	5 	27.5337
0.704 	0 	15.2028
0.704 	4 	16.8452
0.704 	1 	22.5918
0.704 	2 	24.7935
0.704 	5 	21.3794
0.704 	3 	16.4455
0.705 	1 	14.2335
0.705 	5 	16.5522
0.705 	3 	17.033
0.705 	4 	14.5521
0.705 	0 	17.5128
0.705 	2 	17.4832
0.706 	0 	19.6174
0.706 	1 	17.7497
0.706 	4 	14.7968
0.706 	5 	15.8844
0.706 	2 	15.5489
0.706 	3 	13.5894
0.707 	5 	13.0093
0.707 	0 	13.5061
0.707 	1 	7.77781
0.707 	2 	11.4276
0.707 	3 	12.7187
0.707 	4 	16.7761
0.708 	0 	10.4751
0.708 	1 	11.0149
0.708 	3 	10.578
0.708 	4 	8.92975
0.708 	5 	7.8888
0.708 	2 	13.5121
0.709 	0 	10.9138
0.709 	1 	8.07103
0.709 	2 	6.92102
0.709 	3 	7.66826
0.709 	4 	5.24192
0.709 	5 	8.2588
0.71 	2 	19.2844
0.71 	0 	21.8477
0.71 	1 	25.6892
0.71 	3 	23.7037
0.71 	4 	27.6238
0.71 	5 	28.2934
0.711 	4 	12.0154
0.711 	1 	25.5444
0.711 	0 	14.8371
0.711 	2 	17.7951
0.711 	3 	17.6026
0.711 	5 	16.7866
0.712 	3 	28.8725
0.712 	0 	24.139
0.712 	1 	19.8775
0.712 	2 	25.6391
0.712 	4 	23.6835
0.712 	5 	24.1827
0.713 	0 	15.621
