Time	RB	Sinr
0.581 	1 	16.7256
0.581 	3 	17.6532
0.581 	4 	-5.11289
0.581 	5 	19.3521
0.581 	2 	16.1967
0.582 	0 	16.7039
0.582 	1 	16.6939
0.582 	2 	16.4065
0.582 	3 	17.6703
0.582 	5 	19.3223
0.583 	0 	16.4403
0.583 	1 	16.6572
0.583 	2 	16.6049
0.583 	3 	17.6843
0.583 	4 	5.28757
0.583 	5 	19.2882
0.584 	0 	16.155
0.584 	1 	16.6155
0.584 	2 	16.793
0.584 	3 	17.6951
0.584 	4 	6.93507
0.584 	5 	19.25
0.585 	0 	15.8449
0.585 	1 	16.5685
0.585 	2 	16.9714
0.585 	3 	17.7026
0.585 	4 	8.13548
0.585 	5 	19.2073
0.586 	0 	15.5063
0.586 	1 	16.5162
0.586 	2 	17.1409
0.586 	3 	17.7069
0.586 	4 	9.08111
0.586 	5 	19.1602
0.587 	0 	15.1346
0.587 	1 	16.4586
0.587 	2 	17.302
0.587 	3 	17.7078
0.587 	4 	9.86155
0.587 	5 	19.1084
0.588 	0 	14.7236
0.588 	1 	16.3955
0.588 	2 	17.4553
0.588 	3 	17.7054
0.588 	4 	10.5259
0.588 	5 	19.052
0.589 	1 	16.3267
0.589 	2 	17.6013
0.589 	3 	17.6996
0.589 	4 	11.104
0.589 	5 	18.9907
0.589 	0 	14.2654
0.59 	0 	13.7489
0.59 	1 	16.2521
0.59 	2 	17.7402
0.59 	3 	17.6902
0.59 	4 	11.6155
0.59 	5 	18.9243
0.591 	0 	13.1587
0.591 	1 	16.1715
0.591 	2 	17.8726
0.591 	3 	17.6773
0.591 	4 	12.0736
0.591 	5 	18.8528
0.592 	0 	12.4717
0.592 	1 	16.0847
0.592 	2 	17.9988
0.592 	3 	17.6608
0.592 	4 	12.4881
0.592 	5 	18.7759
0.593 	0 	11.6518
0.593 	1 	15.9915
0.593 	2 	18.119
0.593 	3 	17.6405
0.593 	4 	12.8663
0.593 	5 	18.6934
0.594 	0 	10.6375
0.594 	1 	15.8916
0.594 	2 	18.2336
0.594 	3 	17.6165
0.594 	4 	13.2135
0.594 	5 	18.605
0.595 	5 	18.5106
0.595 	0 	9.30969
0.595 	1 	15.7848
0.595 	2 	18.3428
0.595 	3 	17.5885
0.595 	4 	13.534
0.596 	5 	18.4098
0.596 	0 	7.38758
0.596 	1 	15.6707
0.596 	2 	18.4468
0.596 	3 	17.5566
0.596 	4 	13.8313
0.597 	0 	3.86096
0.597 	1 	15.549
0.597 	2 	18.5458
0.597 	3 	17.5206
0.597 	4 	14.1082
0.597 	5 	18.3022
0.598 	0 	-2.1691
0.598 	1 	15.4193
0.598 	2 	18.64
0.598 	3 	17.4803
0.598 	4 	14.3668
0.598 	5 	18.1876
0.599 	3 	17.4357
0.599 	4 	14.609
0.599 	0 	5.6055
0.599 	1 	15.2812
0.599 	2 	18.7297
0.599 	5 	18.0655
0.6 	0 	8.2277
0.6 	1 	15.134
0.6 	2 	18.8149
0.6 	3 	17.3866
0.6 	4 	14.8365
0.6 	5 	17.9355
0.601 	4 	15.0506
0.601 	3 	17.3328
0.601 	5 	17.797
0.601 	0 	9.84289
0.601 	1 	14.9773
0.601 	2 	18.8957
0.602 	0 	11.01
0.602 	1 	14.8104
0.602 	2 	18.9724
0.602 	3 	17.2742
0.602 	4 	15.2524
0.602 	5 	17.6495
0.603 	0 	11.9219
0.603 	1 	14.6326
0.603 	2 	19.0451
0.603 	3 	17.2105
0.603 	4 	15.4429
0.603 	5 	17.4923
0.604 	0 	12.6684
0.604 	1 	14.4429
0.604 	2 	19.1138
0.604 	3 	17.1417
0.604 	4 	15.6229
0.604 	5 	17.3246
0.605 	0 	13.2986
0.605 	1 	14.2404
0.605 	2 	19.1787
0.605 	3 	17.0674
0.605 	4 	15.7932
0.605 	5 	17.1456
0.606 	0 	13.8424
0.606 	1 	14.0239
0.606 	2 	19.2398
0.606 	3 	16.9873
0.606 	4 	15.9544
0.606 	5 	16.9543
0.607 	0 	14.3194
0.607 	1 	13.792
0.607 	2 	19.2973
0.607 	3 	16.9013
0.607 	4 	16.1072
0.607 	5 	16.7495
0.608 	0 	14.743
0.608 	1 	13.5432
0.608 	2 	19.3512
0.608 	3 	16.809
0.608 	4 	16.252
0.608 	5 	16.5299
0.609 	0 	15.1229
0.609 	1 	13.2754
0.609 	2 	19.4017
0.609 	3 	16.7101
0.609 	4 	16.3893
0.609 	5 	16.2938
0.61 	0 	15.4662
0.61 	1 	12.9864
0.61 	2 	19.4487
0.61 	3 	16.6042
0.61 	4 	16.5195
0.61 	5 	16.0392
0.611 	0 	15.7784
0.611 	1 	12.6732
0.611 	2 	19.4923
0.611 	3 	16.4909
0.611 	4 	16.6429
0.611 	5 	15.7638
0.612 	0 	16.0638
0.612 	1 	12.3323
0.612 	2 	19.5326
0.612 	3 	16.3696
0.612 	4 	16.7599
0.612 	5 	15.4648
0.613 	0 	16.3257
0.613 	1 	11.9592
0.613 	2 	19.5697
0.613 	3 	16.2399
0.613 	4 	16.8708
0.613 	5 	15.1386
0.614 	0 	16.567
0.614 	1 	11.5481
0.614 	2 	19.6036
0.614 	3 	16.1012
0.614 	4 	16.9758
0.614 	5 	14.7807
0.615 	0 	16.7899
0.615 	1 	11.0913
0.615 	2 	19.6343
0.615 	3 	15.9527
0.615 	4 	17.0752
0.615 	5 	14.3853
0.616 	0 	16.9962
0.616 	1 	10.5786
0.616 	2 	19.6618
0.616 	3 	15.7938
0.616 	4 	17.1692
0.616 	5 	13.9448
0.617 	0 	17.1874
0.617 	1 	9.99542
0.617 	2 	19.6863
0.617 	3 	15.6234
0.617 	4 	17.258
0.617 	5 	13.4488
0.618 	0 	17.365
0.618 	1 	9.32052
0.618 	2 	19.7077
0.618 	3 	15.4406
0.618 	4 	17.3417
0.618 	5 	12.8828
0.619 	0 	17.53
0.619 	1 	8.52094
0.619 	2 	19.7261
0.619 	3 	15.2441
0.619 	4 	17.4207
0.619 	5 	12.2256
0.62 	1 	7.54142
